molecule_chembl_id,canonical_smiles,standard_value,activity_class,MW,LogP,NumHDonors,NumHAcceptors,TPSA,pIC50,ADV_affinity
CHEMBL126380,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1Cn1nnc2ccccc2c1=O,2.9,active,492.0000000000003,5.383600000000005,1.0,6.0,85.07999999999998,8.537602002101044,-12.3
CHEMBL339137,O=C(O)[C@@H]1[C@@H](SCCc2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1Cn1nnc2ccccc2c1=O,24.0,active,520.0540000000003,5.567200000000006,1.0,6.0,85.07999999999998,7.619788758288394,-11.2
CHEMBL339610,CSc1ccc(-c2ccc(S[C@H]3CC[C@@H](Cn4c(=O)nc5ccccn5c4=O)[C@@H]3C(=O)O)cc2)cc1,16.0,active,519.6480000000003,4.516800000000004,1.0,8.0,93.67,7.795880017344075,-9.3
CHEMBL127787,O=C(O)[C@@H]1[C@@H](S(=O)(=O)CCc2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1Cn1nnc2ccccc2c1=O,132.0,active,552.0520000000001,4.248800000000004,1.0,7.0,119.22,6.87942606879415,-12.2
CHEMBL337946,CSc1ccc(-c2ccc(S[C@H]3CC[C@@H](Cn4nnc5ccccc5c4=O)[C@@H]3C(=O)O)cc2)cc1,4.0,active,503.64900000000017,5.452100000000005,1.0,7.0,85.08,8.397940008672037,-9.9
CHEMBL127559,O=C(O)[C@@H]1[C@@H](S(=O)(=O)CCc2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1CN1C(=O)c2ccccc2C1=O,39.0,active,552.0480000000002,4.739900000000005,1.0,5.0,108.82,7.4089353929735005,-11.8
CHEMBL340345,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1CN1NNc2[nH]cnc2C1=O,642.0,active,483.9810000000002,4.289100000000003,4.0,6.0,110.35,6.192464971931146,-11.7
CHEMBL296761,COc1ccc(S(=O)(=O)N(CC(C)C)[C@@H](CCSCc2ccc(-c3ccccc3)cc2)C(=O)NO)cc1,0.2,active,542.7230000000002,5.206400000000004,2.0,6.0,95.94,9.69897000433602,-9.6
CHEMBL340771,N#Cc1ccc(-c2ccc(S[C@H]3CC[C@@H](Cn4nnc5ccccc5c4=O)[C@@H]3C(=O)O)cc2)cc1,24.0,active,482.5650000000001,4.601880000000003,1.0,7.0,108.87,7.619788758288394,-8.9
CHEMBL296911,COc1ccc(S(=O)(=O)N(CC(C)C)[C@@H](CCSCc2ccccc2)C(=O)NO)cc1,2.5,active,466.6250000000001,3.539400000000001,2.0,6.0,95.94,8.602059991327963,-8.5
